RODRI - Midfielder
Martin ZUBIMENDI - Midfielder
PEDRI - Midfielder
Ferran TORRES - Forward
Dani OLMO - Forward
Yeremy PINO - Forward
Nico WILLIAMS - Forward
Lamine YAMAL - Forward
Mikel OYARZABAL - Forward
Victor MUNOZ - Forward
Borja IGLESIAS - Forward

Cabo Verde
Тренер: Pedro Leitão Brito
VOZINHA - Goalkeeper
MARCIO ROSA - Goalkeeper
CJ DOS SANTOS - Goalkeeper
STOPIRA - Defender
DINEY BORGES - Defender
PICO LOPES - Defender
LOGAN COSTA - Defender
SIDNY LOPES CABRAL - Defender
STEVEN MOREIRA - Defender
WAGNER PINA - Defender
KELVIN PIRES - Defender
KEVIN PINA - Midfielder
JOVANE CABRAL - Midfielder
JOAO PAULO - Midfielder
JAMIRO MONTEIRO - Midfielder
GARRY RODRIGUES - Midfielder
DEROY DUARTE - Midfielder
LAROS DUARTE - Midfielder
YANNICK SEMEDO - Midfielder
WILLY SEMEDO - Midfielder
TELMO ARCANJO - Midfielder
NUNO DA COSTA - Midfielder
HELIO VARELA - Midfielder
GILSON BENCHIMOL - Forward
DAILON LIVRAMENTO - Forward
RYAN MENDES - Forward

Saudi Arabia
Тренер: Georgios DONIS
NAWAF ALAQIDI - Goalkeeper
MOHAMMED ALOWAIS - Goalkeeper
AHMED ALKASSAR - Goalkeeper
ALI MAJRASHI - Defender
ALI LAJAMI - Defender
Abdulelah ALAMRI - Defender
HASSAN ALTAMBAKTI - Defender
SAUD ABDULHAMID - Defender
NAWAF BU WASHL - Defender
HASSAN KADISH - Defender
MOTEB ALHARBI - Defender
JEHAD THIKRI - Defender
MOHAMMED ABU ALSHAMAT - Defender
NASSER ALDAWSARI - Midfielder
MUSAB ALJUWAYR - Midfielder
ABDULLAH ALKHAIBARI - Midfielder
ZIYAD ALJOHANI - Midfielder
ALA ALHAJJI - Midfielder
MOHAMED KANNO - Midfielder
AIMAN YAHYA - Forward
FERAS ALBRIKAN - Forward
SALEM ALDAWSARI - Forward
SALEH ALSHEHRI - Forward
KHALID ALGHANNAM - Forward
ABDULLAH ALHAMDDAN - Forward
SULTAN MANDASH - Forward

Uruguay
Тренер: Marcelo BIELSA
Sergio ROCHET - Goalkeeper
Santiago MELE - Goalkeeper
Fernando MUSLERA - Goalkeeper
Jose Maria GIMENEZ - Defender
Sebastian CACERES - Defender
Ronald ARAUJO - Defender
Guillermo VARELA - Defender
Mathias OLIVERA - Defender
Matias VINA - Defender
Santiago BUENO - Defender
Manuel UGARTE - Midfielder
Rodrigo BENTANCUR - Midfielder
Nicolas DE LA CRUZ - Midfielder
Federico VALVERDE - Midfielder
Giorgian DE ARRASCAETA - Midfielder
Agustin CANOBBIO - Midfielder
Emiliano MARTINEZ - Midfielder
Maxi ARAUJO - Midfielder
Joaquin PIQUEREZ - Midfielder
Juan Manuel SANABRIA - Midfielder
Rodrigo ZALAZAR - Midfielder
Darwin NUNEZ - Forward
Facundo PELLISTRI - Forward
Brian RODRIGUEZ - Forward
Rodrigo AGUIRRE - Forward
Federico VINAS - Forward

France
Тренер: Didier Deschamps
Brice SAMBA - Goalkeeper
Mike MAIGNAN - Goalkeeper
Robin RISSER - Goalkeeper
Malo GUSTO - Defender
Lucas Digne - Defender
Dayot UPAMECANO - Defender
Jules KOUNDE - Defender
Ibrahima KONATE - Defender
William SALIBA - Defender
Theo HERNANDEZ - Defender
